indicators,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Population_ages_0-14_%,24.1,23.6,23.3,23.1,23.0,23.0,23.0,23.0,23.1,23.2,23.2
Population_ages_0-14_total,21007587.0,20784261.0,20727595.0,20773379.0,20914435.0,21114069.0,21343372.0,21571523.0,21849508.0,22139267.0,22392547.0
Population_ages_15-64_%,69.4,69.9,70.2,70.4,70.5,70.4,70.3,70.1,69.9,69.6,69.2
Population_ages_15-64_total,60419839.0,61474294.0,62383848.0,63212277.0,63946323.0,64593718.0,65162932.0,65676647.0,66096018.0,66450585.0,66783127.0
Population_ages_65+_%,6.5,6.5,6.5,6.5,6.5,6.5,6.7,6.8,7.0,7.3,7.6
Population_ages_65+_total,5664826.0,5709096.0,5760118.0,5816831.0,5892714.0,6006808.0,6170772.0,6390554.0,6651116.0,6950543.0,7286432.0
Population_total,87092252.0,87967651.0,88871561.0,89802487.0,90753472.0,91714595.0,92677076.0,93638724.0,94596642.0,95540395.0,96462106.0
Rural_population,61171856.0,61210531.0,61250280.0,61288401.0,61323029.0,61343307.0,61343883.0,61324000.0,61286326.0,61223241.0,61129966.0
Rural_population_%,70.2,69.6,68.9,68.2,67.6,66.9,66.2,65.5,64.8,64.1,63.4
Urban_population,25920396.0,26757120.0,27621281.0,28514086.0,29430443.0,30371288.0,31333193.0,32314724.0,33310316.0,34317154.0,35332140.0
Urban_population_%,29.8,30.4,31.1,31.8,32.4,33.1,33.8,34.5,35.2,35.9,36.6
Age_dependency_ratio_%,44.1,43.1,42.5,42.1,41.9,42.0,42.2,42.6,43.1,43.8,44.4
Age_dependency_ratio_old_%,9.4,9.3,9.2,9.2,9.2,9.3,9.5,9.7,10.1,10.5,10.9
Age_dependency_ratio_young_%,34.8,33.8,33.2,32.9,32.7,32.7,32.8,32.8,33.1,33.3,33.5
