name,latitude,longitude,population
An Giang,19.631414,105.578154,1908352
Ba Ria-Vung Tau,8.682279,106.607283,1148313
Bac Giang,10.000898,105.750951,1803950
Bac Kan,22.543109,103.889887,313905
Bac Lieu,9.294141,105.727764,907236
Bac Ninh,10.259731,105.870438,1368840
Ben Tre,19.857967,105.854818,1288463
Binh Dinh,20.863816,106.613301,1486918
Binh Duong,11.274102,106.358793,2426561
Binh Phuoc,21.016667,107.3,994679
Binh Thuan,11.221584,108.507071,1230808
Ca Mau,12.674192,108.043542,1194476
Can Tho,11.110506,106.179235,1235171
Cao Bang,22.65,106.25,530341
Da Nang,22.539107,104.293053,1134310
Dak Lak,10.636399,106.491036,1869322
Dak Nong,12.457886,107.862461,622168
Dien Bien,21.296732,103.220093,598856
Dong Nai,18.932492,105.076012,3097107
Dong Thap,11.841038,108.903158,1599504
Gia Lai,22.157767,105.595591,1513847
Ha Giang,22.984788,105.239832,854679
Ha Nam,22.147009,105.83481,852800
Ha Noi ,12.053979,109.160038,8053663
Ha Tinh,18.250291,106.00132,1288866
Hai Duong,20.867828,106.300001,1892254
Hai Phong,21.274211,106.100689,2028514
Hau Giang,9.681412,105.572262,733017
Ho Chi Minh,10.411149,106.954737,8993082
Hoa Binh,21.899988,106.32077,854131
Hung Yen,10.074312,105.739739,1252731
Khanh Hoa,10.189644,106.691494,1231107
Kien Giang,8.942308,105.014105,1723067
Kon Tum,15.086417,107.735768,540438
Lai Chau,22.396437,103.458239,460196
Lam Dong,10.574275,105.240052,1296906
Lang Son,16.807971,106.994053,781655
Lao cai,14.42907,109.015596,730420
Long An,11.927318,109.160821,1688547
Nam Dinh,20.32336,106.265838,1780393
Nghe An,10.815913,105.090382,3327791
Ninh Thuan,20.346972,105.836149,982487
Ninh Thuan,20.936527,106.057105,982487
Phu Tho,21.622539,105.184621,1463726
Phu Yen,13.308446,109.215217,872964
Quang Binh ,16.272282,107.233849,895430
Quang Nam,15.882144,108.120918,1495812
Quang Ngai,10.044273,106.590203,1231697
Quang Ninh,10.241466,106.375852,1320324
Quang Tri,10.445591,105.386218,632375
Soc Trang,9.700703,105.902023,1199653
Son La,9.176817,105.152421,1248415
Tay Ninh,21.034072,105.814525,1169165
Thai Binh,20.558315,106.568821,1860447
Thai Nguyen,21.907235,105.642194,1286751
Thanh Hoa,21.010036,107.273451,3640128
Thua Thien Hue,20.822936,106.555753,1128620
Tien Giang,10.349835,106.463399,1764185
Tra Vinh,9.872403,106.054974,1009168
Tuyen Quang,22.144131,105.272775,784811
Vinh Long,20.491213,106.009549,1022791
Vinh Phuc,21.375251,105.54256,1151154
Yen Bai,21.75585,104.827684,821030
Ha Tinh,18.34282,105.90569,1288866
